road_id,risk_score,predicted_disruption
way/22827116,20.24,0
way/38719482,5.21,0
way/44638618,5.21,0
way/44638677,6.92,0
way/44638799,5.21,0
way/44638826,5.21,0
way/44639059,20.58,0
way/44639607,5.21,0
way/44639622,6.92,0
way/44639797,22.64,0
way/44639823,28.98,0
way/44639845,6.92,0
way/44639846,24.31,0
way/44639859,11.6,0
way/44641071,5.21,0
way/44641072,5.21,0
way/44641101,5.21,0
way/44641105,22.64,0
way/44641120,5.21,0
way/44641131,5.21,0
way/44641140,5.21,0
way/44641222,6.92,0
way/44641257,5.21,0
way/44642944,27.91,0
way/44643106,21.88,0
way/44643131,21.88,0
way/44643152,5.21,0
way/44643275,19.02,0
way/44643283,27.9,0
way/44643353,21.88,0
way/44643354,27.9,0
way/44643380,21.88,0
way/44643397,30.57,0
way/44643404,5.21,0
way/44644201,5.21,0
way/44644259,6.92,0
way/44644278,5.21,0
way/44644279,6.92,0
way/44644280,29.86,0
way/44644341,5.21,0
way/44644363,5.21,0
way/44644445,5.21,0
way/44644447,24.31,0
way/44644449,5.21,0
way/44644556,68.56,1
way/44644560,61.18,1
way/44644633,47.94,1
way/44645090,29.86,0
way/44645091,29.86,0
way/44645092,30.92,0
way/44645149,6.92,0
way/44645516,6.92,0
way/44645517,35.12,1
way/44645518,14.16,0
way/44645573,24.31,0
way/44645880,10.49,0
way/44768595,5.21,0
way/44768597,47.94,1
way/44768600,5.21,0
way/44892570,5.21,0
way/44892580,5.21,0
way/44898808,54.73,1
way/44898849,21.88,0
way/51188426,21.88,0
way/51188427,6.92,0
way/51188429,6.92,0
way/51188437,64.79,1
way/51188438,74.89,1
way/51188439,6.92,0
way/51188447,37.03,1
way/51188915,47.94,1
way/51188916,45.1,1
way/51188917,18.18,0
way/51188919,67.96,1
way/51188920,66.69,1
way/51188921,37.03,1
way/51188922,23.0,0
way/51188926,20.58,0
way/51188929,20.58,0
way/51188930,49.94,1
way/51188932,31.76,0
way/51188934,20.58,0
way/51189484,68.22,1
way/51189492,18.18,0
way/51189498,47.94,1
way/51252535,37.28,1
way/51252536,27.9,0
way/51252537,47.94,1
way/51252624,5.21,0
way/51252625,5.21,0
way/51252626,5.21,0
way/51252627,47.94,1
way/51252628,56.51,1
way/51252630,5.21,0
way/53216589,27.57,0
way/53216590,5.21,0
way/53216599,38.02,1
way/53216601,22.64,0
